Abk;Name;Kurzname;Typ;BetrZust;PrimaryLocationCode;UIC;RB;gültigVon;gültigBis;NetzKey;FplRel;FplGr;
NBSI;Bayreuth-St Georgen Sigu;Bayreuth-SG Sigu;NE-Anst;; ;0080;;20081214;;228791;J;N;
NBST;Bad Steben;Bad Steben;Hp;;DE 10555;0080;7;20081214;;260216;J;N;
NBT;Buttenheim;Buttenheim;Hp Bk;;DE 11874;0080;7;20081214;;221309;J;N;
NBTH;Bubenreuth;Bubenreuth;Hp;;DE 11765;0080;7;20081214;;221622;J;N;
NBUE;Büchenbach;Büchenbach;Hp;;DE 11788;0080;7;20081214;;223784;J;N;
NBUG;Burggailenreuth;Burggailenreuth;NE-Hp;; ;0080;;20090214;;912611;J;N;
NBUH;Burghaslach;Burghaslach;vp-Anst;;DE 11846;0080;7;20081219;;221267;J;N;
NBUM;Burgbernheim;Burgbernheim;Hp;;DE 11841;0080;7;20081214;;225177;J;N;
NBUR;Burglauer;Burglauer;Hp;;DE 11856;0080;7;20081214;;224311;J;N;
NBUS;Burgbernheim Stadt;Burgbernhm Stadt;Awanst;;DE 11842;0080;7;20081214;;320374;J;N;
NBUT;Burgthann;Burgthann;Hp;;DE 11863;0080;7;20081214;;223446;J;N;
NBUU;Büchenbach                         (Üst);Büchenbach Üst;Üst;;DE 11789;0080;7;20081214;;300368;J;N;
NBUW;Burgbernheim-Wildbad;Burgbernh-Wildb;Hp;;DE 11843;0080;7;20101212;;227082;J;N;
NBW;Burgwindheim;Burgwindheim;Anst;a.B.;DE 11868;0080;7;20090127;;221135;N;N;
NBWH;Regensburg-Burgweinting Hp;Reg-Burgw Hp;Hp;;DE 18716;0080;7;20081214;;852343;J;N;
NBWI;Bad Windsheim;Bad Windsheim;Bf;;DE 10574;0080;7;20081214;;225144;J;N;
NBY;Bayreuth Hbf;Bayreuth Hbf;Bf;;DE 10698;0080;7;20081214;;222497;J;J;
NBYA;Bayreuth Altstadt;Bayreuth Altst;Bf;ehemals;DE 10696;0080;7;20080101;;222810;N;N;
NBYD;Bayreuth DB-Grenze;Bayreuth DB-Gr;Gp;;DE 10697;0080;7;20101212;;107331;J;N;
NBYG;Bayreuth-St Georgen;Bayreuth-St G;NE-Hp;; ;0080;;20081214;;222521;J;N;
NC;Coburg;Coburg;Bf;;DE 11963;0080;7;20081214;;228049;J;N;
NCA;Cadolzburg;Cadolzburg;Hp Awanst;;DE 11884;0080;7;20081214;;227694;J;N;
NCG;Coburg Gbf;Coburg Gbf;Bf;;DE 11964;0080;7;20081214;;657957;J;N;
